employment_rate_overall,employment_rate_ft_perm,gross_monthly_median,salary_iqr,year,university,school,degree,career_value_index,cluster,pca_1,pca_2
96.6,87.9,3200.0,700.0,2017,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,0.7341322341386712,2,0.22080343104321234,-1.0662030375745564
94.6,86.5,3400.0,1000.0,2017,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,0.717717998444293,2,0.34470013010171535,-0.34872824010736225
95.8,85.9,3600.0,900.0,2017,Singapore Institute of Technology,University of Glasgow,Bachelor of Science with Honours in Computing Science,0.7358473960750842,2,0.47454855692339365,-0.4216300517715608
98.2,96.5,3650.0,300.0,2017,Singapore Institute of Technology,University of Manchester,Bachelor of Science with Honours in Nursing Practice,0.8069007478926298,2,0.7165925244441341,-1.6623170656450568
86.4,69.5,3800.0,1110.0,2017,Singapore Institute of Technology,University of Liverpool,Bachelor of Arts with Honours in Criminology and Security,0.6196916214027895,3,-0.6797842679693361,1.0194793550874808
96.4,92.9,2900.0,200.0,2017,Singapore Institute of Technology,Wheelock College,Bachelor of Science in Early Childhood Education,0.7487660325943428,2,-0.13434387033770626,-2.0844710236024406
94.1,92.1,3088.0,275.0,2017,Singapore Institute of Technology,Singapore Institute of Technology,Bachelor of Accountancy with Honours,0.7376682550830349,2,-0.1759148835111118,-1.6901186305092515
94.7,84.2,2800.0,600.0,2017,Singapore Institute of Technology,Singapore Institute of Technology,Bachelor of Hospitality Business with Honours ^,0.6918047407171074,2,-0.4150376816543568,-1.2525908404447796
89.9,87.3,3600.0,350.0,2017,Singapore University of Technology and Design,na,Bachelor of Engineering (Engineering Product Development),0.7154218526406488,2,-0.3252186231755396,-0.8633842183977698
100.0,100.0,4023.0,1300.0,2017,Singapore University of Technology and Design,na,Bachelor of Engineering (Information Systems Technology and Design),0.823352565755544,1,1.9537645224331621,-0.205761169962232
91.7,85.4,3850.0,610.0,2017,Singapore University of Technology and Design,na,Bachelor of Engineering (Engineering Systems and Design),0.7261390594714736,2,0.08476048181591993,-0.39826176362552357
94.6,92.2,3000.0,200.0,2018,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,0.7390697450720635,2,-0.2419806558701791,-1.8877474766609508
99.2,97.7,4000.0,1033.0,2018,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,0.8157233040413705,2,1.590802950270254,-0.48996700298560186
92.6,84.3,3500.0,800.0,2018,Nanyang Technological University,College of Business (Nanyang Business School),Business,0.7065888476379406,2,0.017459017051278433,-0.38470397961698916
100.0,100.0,4575.0,700.0,2018,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing ^,0.865362920022216,2,1.8886959533127745,-0.6987618607092612
95.3,88.4,3800.0,915.0,2018,Nanyang Technological University,College of Engineering,Aerospace Engineering,0.7504792276629785,2,0.6793618439159216,-0.3027568776294572
77.5,66.2,3500.0,800.0,2018,Nanyang Technological University,College of Engineering,Bioengineering,0.5421122161160202,3,-1.9398251557582855,1.0334859616681713
91.6,86.0,3600.0,900.0,2018,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,0.7080724544181413,2,0.1441620815811747,-0.15804556500126168
96.5,96.5,3500.0,616.0,2018,Nanyang Technological University,College of Engineering,Civil Engineering,0.780156750689472,2,0.706806055052487,-1.2037303551508887
95.8,95.8,3775.0,800.0,2018,Nanyang Technological University,College of Engineering,Computer Engineering,0.781495282364241,2,0.9302608399355011,-0.7023488445214938
94.4,93.0,4000.0,1000.0,2018,Nanyang Technological University,College of Engineering,Computer Science,0.7679786588748777,2,0.9892506059608737,-0.11280475032466998
92.7,91.0,3600.0,677.0,2018,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,0.7386918297968896,2,0.28282429244875845,-0.671422135973721
