Category,File Name,File Path,File Extension,File Size KB,Modified Time
Tables,numeric_summary_after_conversion.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/numeric_summary_after_conversion.csv,.csv,0.89,2026-08-03 21:53:35
Tables,original_column_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/original_column_summary.csv,.csv,0.27,2026-08-03 21:53:32
Tables,preliminary_vif_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/preliminary_vif_summary.csv,.csv,0.63,2026-08-03 21:54:02
Tables,regression_coefficient_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/regression_coefficient_summary.csv,.csv,3.28,2026-08-03 21:54:38
Tables,regression_insight_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/regression_insight_summary.csv,.csv,0.64,2026-08-03 21:54:39
Tables,regression_performance_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/regression_performance_summary.csv,.csv,0.35,2026-08-03 21:54:38
Tables,regression_prediction_samples.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/regression_prediction_samples.csv,.csv,4.67,2026-08-03 21:54:38
Tables,report_ready_narrative_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/report_ready_narrative_summary.csv,.csv,0.41,2026-07-26 16:33:22
Tables,statistical_test_assumption_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/statistical_test_assumption_summary.csv,.csv,3.11,2026-08-03 21:54:35
Tables,statistical_test_pairwise_comparisons.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/statistical_test_pairwise_comparisons.csv,.csv,11.83,2026-08-03 21:54:35
Tables,statistical_test_results.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/statistical_test_results.csv,.csv,1.79,2026-08-03 21:54:35
